Energy (eV),Efficiency %,Efficiency % Uncertainty
791.0,0.32819587637712294,0.0577739224681893
792.0,0.3289624968280788,0.05772077677584121
793.0,0.32972743005794586,0.057667334846775976
794.0,0.3304906760745922,0.05761360042852841
795.0,0.3312522349363468,0.05755957724088262
796.0,0.3320121067513664,0.05750526897599042
797.0,0.3327702916770018,0.05745067929848987
798.0,0.3335267899191736,0.05739581184562559
799.0,0.33428160173174953,0.057340670227369085
800.0,0.33503471895300985,0.05728525425565451
801.0,0.335780047143662,0.057226854977121905
802.0,0.33652371268312975,0.057168208646299484
803.0,0.33726571603540373,0.05710931869434796
804.0,0.33800605770775355,0.057050188525744894
805.0,0.33874473825015905,0.056990821518416994
806.0,0.3394817582547466,0.056931221023872616
807.0,0.34021711835523377,0.05687139036733447
808.0,0.3409508192263706,0.056811332847873514
809.0,0.3416828615833985,0.05675105173854194
810.0,0.3424132461814997,0.05669055028650844
811.0,0.3431419738152637,0.05662983171319151
812.0,0.3438690453181503,0.05656889921439521
813.0,0.34459446156196316,0.05650775596044352
814.0,0.34531822345632446,0.05644640509631612
815.0,0.3460403319481554,0.05638484974178389
